[2013-06-21 12:53:09,775] INFO      ADD DB: Creating index for 146200.B46 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,776] INFO      ADD DB: Creating index for 146200.B41 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,778] INFO      ADD DB: Creating index for 146200.B40 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,779] INFO      ADD DB: Creating index for 146200.B43 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,781] INFO      ADD DB: Creating index for 146200.B42 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,788] INFO      ADD DB: Creating index for 146200.B27 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,806] INFO      ADD DB: Creating index for 146200.B28 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,807] INFO      ADD DB: Creating index for 146200.B49 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,830] INFO      ADD DB: Creating index for 146200.B48 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,836] INFO      ADD DB: Creating index for 146200.B9 collection...                #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,838] INFO      ADD DB: Creating index for 146200.B4 collection...                #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,839] INFO      ADD DB: Creating index for 146200.B52 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,840] INFO      ADD DB: Creating index for 146200.B1 collection...                #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,841] INFO      ADD DB: Creating index for 146200.B53 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,846] INFO      ADD DB: Creating index for 146200.B50 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,872] INFO      ADD DB END                                                        #msmmongo.py[LINE:37]
[2013-06-21 12:53:09,879] INFO      UPD DB START                                                      #msmmongo.py[LINE:40]
